ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
75201,с.,Устрен,KRZ,KRZ08,KRZ08-19,3,6,7,1864,08,4854
75215,с.,Ухловица,SML,SML31,SML31-18,3,8,8,1864,20,4855
75229,с.,Ушевци,VTR,VTR04,VTR04-00,3,8,5,1864,04,4856
75232,с.,Уши,KNL,KNL50,KNL50-00,3,8,8,1864,09,4857
75246,с.,Ушинци,RAZ,RAZ26,RAZ26-00,3,7,4,1864,16,4858
76011,с.,Фабрика,SML,SML11,SML11-00,3,8,7,1864,20,4859
76025,с.,Фазаново,BGS,BGS13,BGS13-00,3,8,2,1864,02,4860
76039,с.,Факия,BGS,BGS06,BGS06-00,3,6,3,1864,02,4861
76042,с.,Фатово,SML,SML31,SML31-00,3,8,8,1864,20,4862
76064,с.,Фелдфебел Денково,DOB,DOB15,DOB15-62,3,6,3,1864,24,4863
76073,с.,Филаретово,SLV,SLV11,SLV11-20,3,6,5,1864,19,4864
76090,с.,Филипово,BLG,BLG01,BLG01-07,3,6,6,1864,01,4865
76100,с.,Филипово,HKV,HKV32,HKV32-00,3,8,4,1864,26,4866
76114,с.,Филиповци,PER,PER51,PER51-00,3,7,7,1864,13,4867
76145,с.,Флорентин,VID,VID30,VID30-00,3,6,1,1864,05,4868
76159,с.,Фотиново,KRZ,KRZ14,KRZ14-41,3,5,5,1864,08,4869
76162,с.,Фотиново,PAZ,PAZ03,PAZ03-02,3,6,8,1864,12,4870
76180,с.,Фролош,KNL,KNL27,KNL27-00,3,7,7,1864,09,4871
76193,с.,Фурен,VRC,VRC21,VRC21-00,3,7,3,1864,06,4872
76203,с.,Фъргово,BLG,BLG42,BLG42-13,3,6,7,1864,01,4873
76217,с.,Фърговци,GAB,GAB05,GAB05-00,3,8,6,1864,07,4874
76220,с.,Фъревци,GAB,GAB35,GAB35-00,3,8,6,1864,07,4875
76234,с.,Фъртуни,GAB,GAB35,GAB35-00,3,8,6,1864,07,4876
77044,с.,Хаджи Димитър,DOB,DOB17,DOB17-00,3,8,2,1864,24,4877
77013,с.,Хаджидимитрово,VTR,VTR28,VTR28-13,3,6,2,1864,04,4878
77027,с.,Хаджидимитрово,SZR,SZR12,SZR12-15,3,5,5,1864,23,4879
77030,с.,Хаджидимитрово,JAM,JAM25,JAM25-40,3,6,3,1864,28,4880
77058,гр.,Хаджидимово,BLG,BLG52,BLG52-00,1,4,5,1864,01,4881
77061,с.,Хаджиево,PAZ,PAZ19,PAZ19-27,3,6,4,1864,12,4882
77089,с.,Хаджиите,BGS,BGS09,BGS09-26,3,7,3,1864,02,4883
77092,с.,Хаджийско,KRZ,KRZ14,KRZ14-41,3,7,5,1864,08,4884
77102,с.,Хайредин,VRC,VRC35,VRC35-00,3,5,2,1864,06,4885
77120,с.,Халваджийско,TGV,TGV02,TGV02-00,3,8,5,1864,25,4886
68730,с.,Хан Аспарухово,SZR,SZR31,SZR31-44,3,5,3,1864,23,4888
78210,с.,Хан Крум,SHU,SHU23,SHU23-00,3,6,2,1864,27,4889
77150,с.,Ханово,JAM,JAM25,JAM25-41,3,6,3,1864,28,4890
77164,с.,Харачерите,GAB,GAB05,GAB05-00,3,8,5,1864,07,4891
77178,с.,Харваловци,VTR,VTR13,VTR13-00,3,8,6,1864,04,4892
77181,гр.,Харманли,HKV,HKV33,HKV33-00,1,2,2,1864,26,4893
77195,гр.,Хасково,HKV,HKV34,HKV34-00,1,1,3,1864,26,4894
77205,с.,Хасовица,SML,SML31,SML31-00,3,8,8,1864,20,4895
77219,с.,Хвойна,SML,SML38,SML38-09,3,5,7,1864,20,4896
77222,с.,Хвостяне,BLG,BLG13,BLG13-14,3,6,5,1864,01,4897
77236,с.,Хвърчил,SFO,SFO56,SFO56-00,3,8,7,1864,22,4898
